2006,CD,118082
1970,8-Track Cartridge,638
2012,Box Set,1675
1941,Acetate,4
1984,CDV,1
2007,Blu-ray-R,15
1976,Shellac,1
2013,DVD,3633
2001,U-matic,2
1997,SACD,13
1922,Cylinder,8
2007,DualDisc,1
2014,Cylinder,1
1926,Box Set,1
1997,Vinyl,46204
1983,Box Set,565
1916,Edison Disc,58
1958,Acetate,14
2008,HD DVD,5
2000,CDV,9
2017,DAT,2
2002,CDV,6
2011,HD DVD,2
2017,HD DVD,2
1956,Vinyl,17844
1961,Box Set,216
1927,Shellac,2266
1990,Acetate,129
1998,DVDr,14
0,Betacam,4
1965,Cassette,42
2001,Minidisc,32
2015,Blu-ray-R,104
1954,Reel-To-Reel,4
2006,Minidisc,1
1996,8-Track Cartridge,5
1957,Lathe Cut,1
1958,Vinyl,30098
2009,CD,98285
2009,Cassette,5587
1971,Box Set,445
1998,Flexi-disc,23
2013,Vinyl,50565
1994,U-matic,42
2019,Vinyl,271
1983,U-matic,6
1925,Cylinder,5
1889,Cylinder,1
0,Laserdisc,208
2014,DVDr,316
2018,Lathe Cut,735
2019,CDr,6
1979,CDr,2
2006,UMD,4
1991,DCC,5
1984,Cassette,13195
1912,Cylinder,56
2003,Blu-ray,4
1913,Pathé Disc,1
2019,All Media,1
1928,Flexi-disc,3
2003,UMD,4
2013,SACD,257
2013,Lathe Cut,628
2013,Memory Stick,136
2014,Lathe Cut,606
1933,Acetate,1
1989,DAT,8
2007,Vinyl,35673
1988,Box Set,474
2010,DVDr,545
2016,8-Track Cartridge,26
2017,Blu-ray-R,70
1992,Reel-To-Reel,14
1953,Acetate,11
2017,Elcaset,1
1996,Microcassette,1
2007,Cylinder,1
1969,Reel-To-Reel,298
2012,All Media,1910
2005,Floppy Disk,13
2000,Betacam SP,91
1972,Vinyl,87771
1990,VHS,1203
1983,CD,1933
2003,SACD,659
1994,Minidisc,112
2010,DVD,5051
2011,CDr,20639
2013,Cassette,11961
1913,Shellac,416
2015,Microcassette,8
1956,Tefifon,3
2001,SACD,206
2004,All Media,713
2004,DVDr,298
1974,Box Set,565
2017,Box Set,1633
1989,CDr,27
2007,HD DVD,20
1945,Box Set,3
1990,Lathe Cut,2
2001,CDr,11393
2013,CDr,19681
2001,Flexi-disc,29
2011,Lathe Cut,309
1972,Reel-To-Reel,228
2015,Reel-To-Reel,10
1967,Lathe Cut,1
1993,VHS,918
1966,Box Set,272
2014,DVD,3179
1966,Reel-To-Reel,241
1966,Flexi-disc,185
-1,Microcassette,1
2001,VHS,745
2004,VHS,170
2018,Floppy Disk,138
1967,Shellac,81
1981,Reel-To-Reel,22
2019,Floppy Disk,1
2005,Reel-To-Reel,1
1996,CD,107937
1988,Flexi-disc,259
1967,Acetate,61
1919,Shellac,562
1995,Lathe Cut,66
1985,Betamax,59
2016,DAT,3
2002,Flexi-disc,16
1944,Shellac,1163
2011,Acetate,77
1970,4-Track Cartridge,14
1998,Vinyl,44235
1987,Vinyl,96285
1941,Vinyl,12
1964,Acetate,42
1983,Flexi-disc,258
1960,Shellac,216
1989,All Media,47
1933,Flexi-disc,45
1986,Floppy Disk,2
1993,Lathe Cut,12
1984,SelectaVision,4
1988,Minidisc,1
1996,Box Set,621
2003,Acetate,138
-1,Vinyl,412
2007,Betacam SP,44
1959,Reel-To-Reel,104
1987,HD DVD,2
2015,Laserdisc,1
2007,UMD,1
1992,CD,68323
1987,Reel-To-Reel,20
1971,Reel-To-Reel,204
1936,Flexi-disc,2
1995,SACD,3
2006,Cassette,3476
0,VHS,2839
1987,All Media,52
1992,Flexi-disc,91
1965,Acetate,65
1967,8-Track Cartridge,159
2018,DCC,3
1991,DVDr,2
1941,Flexi-disc,3
0,Tefifon,12
1979,8-Track Cartridge,726
2009,Memory Stick,114
2012,Reel-To-Reel,10
2017,DCC,1
1929,Box Set,6
2008,Flexi-disc,10
2004,Lathe Cut,72
2008,Microcassette,3
1941,Box Set,2
1984,4-Track Cartridge,1
2006,Reel-To-Reel,3
1931,Acetate,1
2010,Video 2000,1
1951,Shellac,3105
2010,CDr,21881
1921,Shellac,629
1964,Reel-To-Reel,137
1917,Shellac,484
2017,All Media,2525
2018,All Media,2038
2008,VHS,7
2009,Acetate,48
1989,4-Track Cartridge,1
2004,Vinyl,44062
1971,Vinyl,73980
1999,Lathe Cut,64
2008,Vinyl,34207
2011,Blu-ray,352
2014,Microcassette,6
1990,CDr,72
2016,Acetate,44
1963,8-Track Cartridge,21
2017,8-Track Cartridge,38
1991,Reel-To-Reel,14
1926,Pathé Disc,2
2016,HD DVD,1
0,Vinyl,1
2013,DVDr,316
1989,Reel-To-Reel,23
1965,PlayTape,4
2005,HD DVD,4
2007,Minidisc,2
2005,Vinyl,40009
2003,CD,117580
1985,All Media,31
1911,Shellac,212
