2013,Heavy Metal,178
2007,Contemporary Jazz,169
2014,Neo Soul,104
2006,Romani,4
2014,J-Core,27
2000,Glam,38
2015,Death Metal,69
1978,Glam,123
2016,Electro,6644
2002,Theme,57
2017,Italo-Disco,612
1980,Bollywood,14
2017,Ragga HipHop,15
2017,Italo House,41
1982,Acoustic,33
2002,Bossa Nova,63
1985,Promotional,9
1982,Radioplay,5
2003,No Wave,12
1988,Tech House,10
1975,Breaks,4
1999,Big Band,30
2012,P.Funk,21
0,Zydeco,4
2016,Public Broadcast,4
2005,Mambo,6
2014,Turntablism,26
2004,Schranz,35
1994,Radioplay,17
2011,Salsa,20
1993,Cumbia,7
1989,Lo-Fi,10
1970,Rhythmic Noise,1
2015,Soca,11
1995,Country Blues,3
1998,Mod,5
1970,Health-Fitness,1
1984,Aboriginal,1
1970,Tango,1
1986,Bhangra,1
2015,Romantic,13
1999,Chillwave,11
1997,Conjunto,1
1973,Guaracha,1
1973,Big Band,3
1967,Smooth Jazz,2
2009,Hiplife,2
1989,Death Metal,4
2005,Highlife,1
2008,Neo Trance,5
2018,Sermon,4
2017,Doo Wop,8
1970,Contemporary Jazz,1
1960,Abstract,1
2003,Hard Bop,5
2017,Éntekhno,2
1993,Serial,1
1976,Noise,2
1972,Sermon,1
1985,Acid Rock,1
2009,Texas Blues,1
2017,Polka,1
1997,Happy Hardcore,1415
2001,House,15941
1999,Euro House,6313
1999,Folk,193
2006,Chiptune,384
1996,Industrial,2077
1990,Breaks,394
1990,Ambient,1689
1992,Theme,70
2005,Ballad,673
1994,Funk,441
1990,Jazzdance,199
2008,Doom Metal,182
2003,Lounge,92
2000,J-Core,38
1977,Schlager,37
2000,Cut-up/DJ,91
0,Rhythmic Noise,913
2010,Dubstep,3797
1983,Hindustani,16
2009,Rhythm & Blues,132
1987,Easy Listening,154
2010,Psychedelic Rock,572
1996,Field Recording,115
1983,Soul-Jazz,49
1979,Neo-Classical,4
2010,Score,245
2004,Bossanova,95
1982,Rockabilly,14
2013,Eurobeat,86
1973,Schlager,12
2000,Radioplay,18
1992,Trip Hop,172
2001,Doom Metal,36
1970,Minimal,12
1999,Tech Trance,60
1985,Afro-Cuban,3
2012,Hardcore Hip-Hop,68
2012,New Jack Swing,6
1971,Jazz-Rock,9
1999,Ethereal,91
0,Education,99
1962,Classical,1
1994,P.Funk,31
2004,Country Blues,6
1975,Rhythm & Blues,5
2012,Metalcore,40
2007,Comedy,52
2001,New Jack Swing,15
1985,Eurodance,8
2002,Deep Techno,16
2018,Broken Beat,450
2018,Thug Rap,23
2017,Bounce,10
1982,Indian Classical,7
2014,Melodic Hardcore,8
1978,Folk,14
1980,Bop,1
2010,Soca,3
1999,Lambada,7
1980,Synthwave,14
1971,Neo-Classical,1
2014,Flamenco,10
1997,Neo Trance,2
2012,Batucada,2
1997,Axé,4
2001,Cubano,10
1975,Porro,1
2011,Carnatic,2
1984,Deathrock,2
2019,Chillwave,2
2000,Power Metal,1
2013,Ottoman Classical,5
2011,Hard Bop,1
1992,Hardstyle,1
1982,Chutney,1
1968,Rhythm & Blues,2
1994,Vallenato,1
2017,Pipe & Drum,1
1998,UK Garage,1725
2007,Abstract,4041
1987,Soft Rock,409
1997,Soundtrack,538
1993,Heavy Metal,139
2008,Neo Soul,168
1995,Hard House,614
1998,Electro,3002
2006,Blues Rock,81
1995,Trip Hop,1187
1988,Indie Rock,360
1966,Abstract,21
2002,Chanson,252
2006,Tango,61
1994,Prog Rock,142
1978,Alternative Rock,17
1989,Europop,744
2006,Country Rock,62
1985,Garage House,185
0,Post-Punk,874
1978,Downtempo,146
2010,Tech Trance,300
2011,Funk,741
1996,Rock & Roll,95
1998,Jazz-Rock,43
1978,Space-Age,27
1983,Rhythm & Blues,120
2011,Poetry,89
1969,Schlager,7
2015,Noise,7253
2012,Swing,73
2001,Flamenco,25
2015,Pop Rock,829
2015,Punk,458
1995,Italo House,45
2004,Special Effects,16
1976,Gamelan,4
1988,Mod,19
2008,Go-Go,2
2001,Grime,34
2006,Classical,51
2001,Promotional,15
2010,Eurobeat,175
2012,Jazzdance,87
1994,Tech Trance,22
1989,Éntekhno,3
2017,Progressive Trance,2591
2017,Vocal,450
2018,Contemporary Jazz,134
1990,Power Electronics,13
2017,Ethno-pop,3
2014,Folk Metal,14
1979,Tango,2
1981,Post-Modern,5
1974,Soul-Jazz,8
2011,Afro-Cuban,25
2000,Ranchera,9
1996,Musical,3
2015,Opera,10
2005,Doomcore,4
2015,Crunk,13
1969,Poetry,6
1999,Roots Reggae,9
1998,Crust,1
2016,Baltimore Club,38
2019,Psychedelic,2
1991,Monolog,3
2002,Juke,2
2018,Harmonica Blues,4
1982,Indie Pop,10
2013,Flamenco,3
2007,Sermon,2
1995,Beatdown,2
1995,Rapso,1
1979,Indie Pop,1
2001,Health-Fitness,3
1996,Klezmer,3
2000,Educational,1
1984,Nursery Rhymes,4
1985,Radioplay,9
2016,Flamenco,9
1998,Chillwave,5
2017,Hard Bop,3
2004,Ballroom,1
2019,Therapy,1
2012,Public Service Announcement,4
2001,Goregrind,1
2018,Junkanoo,1
1981,Ghetto,1
2010,Funeral Doom Metal,1
1998,Vallenato,1
2018,Griot,1
1997,Metalcore,1
1998,Dream Pop,1
1997,Eurodance,1310
2006,Ragga HipHop,65
1988,Synth-pop,15709
1992,House,11101
2003,Hardcore,1387
1997,Breakcore,147
1990,Italo House,567
1996,Reggae,181
2005,Classic Rock,120
1976,Punk,10
2003,Acid,472
1998,Ragga,43
1984,Contemporary R&B,18
2007,Indie Pop,138
1963,Contemporary,8
2009,Indie Rock,1796
2009,Shoegaze,383
1997,Celtic,40
2009,African,46
1976,Movie Effects,16
1976,New Wave,8
1990,Folk Rock,200
0,Avant-garde Jazz,181
0,Thrash,160
0,Surf,92
2013,Big Beat,126
2013,Europop,777
0,MPB,53
2008,Indie Pop,165
2005,Bass Music,45
2004,Deathrock,10
1998,Power Pop,46
1985,Gospel,28
1984,Ethereal,47
2004,Reggaeton,38
1998,Glitch,43
1991,Soul-Jazz,35
1989,Latin Jazz,28
1981,Drone,10
2001,Surf,14
0,Chillwave,110
2010,Juke,25
2002,Thrash,26
1998,Bollywood,3
2012,Surf,43
2012,Funkot,12
1997,Funk Metal,25
2003,Doomcore,11
2002,Soca,4
1976,Nursery Rhymes,2
2013,Swamp Pop,3
2005,Sermon,7
2011,Bounce,11
2011,Story,3
1963,Musique Concrète,15
2012,Funk Metal,6
1979,Bossanova,4
2013,Nordic,15
1972,Future Jazz,3
1978,Aboriginal,2
1974,Ragtime,6
2002,Mizrahi,3
2001,Technical,2
2019,Indie Pop,4
1978,Surf,3
2012,Neo Trance,3
1984,Soukous,3
1995,Éntekhno,3
2005,Neo Trance,1
1995,Technical,1
1978,Opera,1
1985,Merengue,2
2003,Progressive Metal,1
1990,Hard Bop,1
1998,Son,2
1992,Baltimore Club,1
1990,Story,1
2015,Melodic Death Metal,5
2017,Basque Music,1
2016,Go-Go,1
1968,Folk,1
2018,Carnatic,2
1987,Leftfield,215
1997,Synth-pop,4825
1999,Indie Rock,772
1976,Ambient,301
2005,Grunge,23
1985,Classic Rock,83
1984,Fusion,165
1969,Experimental,326
1971,Abstract,78
1975,Easy Listening,110
1991,Ska,33
2008,Avantgarde,583
2007,Surf,21
2010,Heavy Metal,206
1998,Italodance,748
2012,Rhythm & Blues,202
2011,Novelty,21
2007,Piano Blues,7
1977,Soft Rock,77
2006,Berlin-School,154
2013,Deep House,7669
1989,Calypso,9
2013,Chiptune,909
1990,Rockabilly,18
1978,Mambo,3
2015,Score,272
1999,Therapy,29
1971,Baroque,8
1994,Minneapolis Sound,2
2013,Poetry,82
1997,Gypsy Jazz,3
2018,House,9673
2001,Romantic,13
1979,Poetry,18
2018,Baroque,15
1995,Flamenco,26
1975,Jazz-Rock,39
2018,Health-Fitness,1
1990,Musique Concrète,85
1990,Neo-Classical,19
2004,Grunge,21
2009,Miami Bass,9
1993,Glam,37
1966,Movie Effects,1
2006,Promotional,11
1999,Salsa,47
2015,Donk,144
2010,Symphonic Rock,63
2016,Brit Pop,27
2015,Space-Age,61
2015,Ragga HipHop,27
1996,Electric Blues,11
2017,Bollywood,8
2001,P.Funk,9
1991,Medieval,5
1985,Bubblegum,11
1987,Cubano,19
2017,Space-Age,43
2010,Overtone Singing,7
1991,No Wave,4
2017,Power Metal,5
1991,Drum n Bass,2
2012,Nordic,6
2007,P.Funk,15
1994,Sound Poetry,2
1985,Monolog,4
2009,Zouk,8
1993,Coldwave,1
1984,Mariachi,4
2011,Nursery Rhymes,6
2018,Champeta,3
1980,Coldwave,2
1996,Highlife,1
1971,Field Recording,2
2014,Chutney,1
2008,Karaoke,7
2007,Catalan Music,1
2015,Bolero,1
1971,Industrial,1
1988,Ghettotech,1
1998,Downtempo,4887
1995,Ragga HipHop,158
1997,Hard House,1466
2004,Italodance,861
1985,Hip Hop,160
1999,Avantgarde,285
2007,Schlager,132
1964,Abstract,7
1994,Krautrock,95
1990,Conscious,118
1987,Goth Rock,205
1996,Lovers Rock,9
2010,Progressive House,6500
2011,Drum n Bass,5175
1980,Promotional,6
2010,EBM,983
2000,Brit Pop,116
1980,Soul,367
2009,Nordic,4
2013,Synth-pop,7153
